DBUID,num_stops
35061263010,16
35061263011,17
35061263013,20
35061263014,25
35061264001,9
35061264002,6
35061264003,10
35061266001,13
35061266002,11
35061266003,16
35061266004,7
35061266005,9
35061266006,9
35061266007,11
35061266008,11
35061312002,12
35061311001,13
35061311002,10
35061311005,14
35061311006,8
35061312001,13
35061190002,18
35061191002,16
35061192001,5
35061312003,16
35061312004,11
35061312005,14
35061312006,8
35061312007,14
35061313001,12
35061313002,17
35061314001,16
35061315001,10
35061315002,4
35061315003,2
35061316001,6
35061316002,4
35061131001,0
35061131002,0
35061131004,0
35061131005,0
35061192004,7
35061192008,0
35061193001,32
35061193002,19
35061193003,20
35061193005,3
35061193006,9
35061193009,16
35061194001,23
35061194002,21
35061194003,14
35061194004,16
35061194005,14
35061194006,11
35061194007,13
35061195011,27
35061195012,28
35061196001,26
35061196002,26
35061196003,34
35061197003,23
35061197004,13
35061198001,17
35061316003,4
35061198002,9
35061198004,4
35061198005,8
35061198006,8
35061317001,6
35061317002,2
35061317005,0
35061317006,4
35061317007,2
35061318001,4
35061318002,1
35061318003,3
35061319001,7
35061320001,9
35061321004,16
35061321005,17
35061322001,4
35061323002,8
35061323003,6
35061323004,9
35061323005,11
35061323006,6
35061323007,12
35061325005,8
35061325006,11
35061325007,8
35061131008,0
35061131011,0
35061131012,0
35061131013,0
35061131014,0
35061131015,0
35061131017,0
35061131018,0
35061131019,0
35061189014,6
35061132001,0
35061132002,0
35061201003,13
35061201007,11
35061202001,11
35061202002,13
35061202003,17
35061203001,13
35061203002,12
35061203003,15
35061204001,18
35061208001,2
35061208005,3
35061209001,4
35061209002,4
35061209003,2
35061209004,4
35061209005,4
35061210001,2
35061210002,0
35061210003,0
35061210004,0
35061325008,10
35061213002,9
35061213003,4
35061213004,2
35061214002,10
35061325009,6
35061325010,8
35061325011,5
35061325012,10
35061325013,3
35061326001,7
35061326002,5
35061326003,10
35061327001,8
35061327002,9
35061327003,3
35061328001,12
35061328003,12
35061328004,11
35061328005,14
35061328006,14
35061328009,12
35061329001,11
35061329002,13
35061329003,11
35061329004,7
35061329005,7
35061331001,0
35061331002,3
35061331003,3
35061331004,4
35061339010,1
35061132003,0
35061132004,0
35061132006,0
35061132008,0
35061133005,0
35061133006,0
35061133007,0
35061133008,0
35061133009,0
35061133011,0
35061133018,0
35061214003,10
35061214007,6
35061215001,11
35061215002,6
35061215003,7
35061215004,7
35061222001,27
35061222002,27
35061222003,22
35061222004,25
35061222007,21
35061222010,23
35061222011,20
35061222016,18
35061222023,17
35061222025,22
35061222030,22
35061222031,19
35061222035,8
35061222036,7
35061222039,23
35061222047,17
35061222049,24
35061339007,0
35061339008,2
35061339009,2
35061331006,1
35061332001,7
35061332006,14
35061332007,13
35061339011,3
35061339012,3
35061339013,4
35061339014,3
35061339015,2
35061339017,3
35061339018,5
35061339019,5
35061339020,3
35061339021,6
35061339022,8
35061339023,2
35061339024,2
35061339025,2
35061339026,3
35061339027,2
35061340001,3
35061340002,4
35061340003,9
35061341001,0
35061341002,1
35061133019,0
35061133020,0
35061133022,0
35061133023,0
35061134001,0
35061210005,0
35061210006,2
35061213001,8
35061222050,19
35061222051,13
35061222052,24
35061333001,0
35061333003,9
35061333004,6
35061333005,6
35061333006,4
35061333007,5
35061333008,2
35061333009,0
35061334001,12
35061335001,16
35061335004,15
35061335008,17
35061336001,18
35061337001,16
35061338010,18
35061339002,2
35061339003,2
35061339004,2
35061339005,1
35061339006,1
35061222053,22
35061222054,8
35061225001,19
35061225002,19
35061225003,21
35061227013,2
35061228001,3
35061228002,4
35061228003,2
35061229001,13
35061229002,13
35061229003,8
35061229004,14
35061230001,11
35061230002,12
35061230003,12
35061230004,13
35061231001,7
35061231002,7
35061231003,11
35061232003,5
35061232005,7
35061331005,2
35061233002,7
35061233003,7
35061234001,6
35061234002,4
35061234003,6
35061235001,10
35061235002,8
35061236003,15
35061237001,10
35061237002,4
35061238001,12
35061238002,15
35061238003,17
35061238004,14
35061239001,12
35061239002,11
35061239003,8
35061239004,11
35061240001,9
35061240002,16
35061243001,9
35061243002,8
35061243003,6
35061243004,8
35061247001,3
35061247002,8
35061247003,9
35061247004,9
35061247005,10
35061248001,10
35061248002,10
35061248005,8
35061248009,8
35061248010,10
35061248011,16
35061248019,4
35061248020,12
35061248021,20
35061249001,10
35061250001,13
35061251001,10
35061251002,9
35061251003,8
35061251004,15
35061251005,8
35061252001,2
35061252002,0
35061253002,20
35061253005,18
35061254001,16
35061254005,18
35061256001,24
35061256007,28
35061256008,24
35061256009,25
35061257002,2
35061257004,0
35061257005,11
35061257006,12
35061257007,1
35061257008,1
35061257009,8
35061261008,15
35061261009,13
35061263001,17
35061263002,17
35061263003,23
35061263007,21
35061263008,25
35061263009,19
35060698002,4
35060698003,11
35060698004,11
35060608006,5
35060608007,2
35060609001,11
35060609002,15
35060610003,1
35060610004,6
35060611001,6
35060611002,6
35060611003,11
35060611004,15
35060612001,0
35060612003,0
35060612005,0
35060612006,0
35060612007,0
35060612009,0
35060612010,0
35060612011,0
35060613003,12
35060613004,13
35060613005,21
35060613006,20
35060700029,1
35060701001,7
35060701005,6
35060701007,14
35060701011,8
35060701012,13
35060701013,11
35060701016,14
35060701018,13
35060701019,15
35060701020,16
35060701021,16
35060701022,12
35060701024,10
35060701025,11
35060701026,12
35060701028,11
35060701033,19
35060701036,7
35060701037,15
35060701038,4
35060701039,12
35060701040,7
35060701041,7
35060701042,9
35060800002,8
35060800003,8
35060801001,9
35060801002,10
35060802001,10
35060802002,12
35060802003,9
35060815002,13
35060815005,10
35060816001,0
35060816002,5
35060816003,2
35060817001,6
35060817002,6
35060817003,7
35060817004,3
35060817007,14
35060818005,19
35060819001,12
35060819002,13
35060819003,13
35060819004,9
35060820001,16
35060820002,15
35060820003,16
35060820004,9
35060820005,10
35060823001,2
35060929001,1
35060929002,6
35060929003,6
35060929004,11
35060930001,8
35060930002,2
35060930003,13
35060930004,3
35060931001,8
35060931002,7
35060931003,2
35060931004,5
35060931005,7
35060931006,7
35060934003,7
35060934004,10
35060934005,4
35060935001,7
35060935002,9
35060935003,10
35060935004,5
35060935005,6
35060935006,8
35060936001,11
35060936002,9
35060936003,6
35060936004,7
35060937005,10
35060937006,9
35061102002,4
35061102003,9
35061102004,9
35061103001,10
35061103002,5
35061103003,3
35061103004,3
35061104003,20
35061105001,13
35061105002,9
35061105003,9
35061105004,13
35061106001,4
35061106002,4
35061106003,8
35061106004,1
35061106005,0
35061107001,12
35061107002,11
35061107003,13
35061140039,0
35061140040,0
35061141001,0
35061141002,0
35061141003,0
35061141005,0
35061141006,0
35061141007,0
35061141008,0
35061141009,6
35061141010,0
35061141011,0
35061257010,0
35061257011,1
35061261001,19
35061261003,19
35061261004,14
35060059003,18
35060059004,18
35060061001,14
35060061002,16
35060062007,12
35060064001,19
35060064002,19
35060064003,21
35060065001,9
35060065002,6
35060065003,14
35060066001,18
35060067001,13
35060067002,12
35060067003,12
35060069001,17
35060069002,12
35060069003,15
35060069004,10
35060069005,15
35060069006,14
35060070001,15
35060070003,10
35060070004,9
35060070005,9
35060163003,15
35060163005,11
35060163006,9
35060164001,10
35060070006,6
35060070007,11
35060165003,12
35060165004,13
35060166001,12
35060166002,8
35060166004,6
35060166007,7
35060167001,15
35060167002,15
35060167003,13
35060167005,5
35060167006,6
35060167007,8
35060167008,8
35060167009,5
35060167010,8
35060167011,4
35060168003,10
35060327006,18
35060327007,14
35060327009,20
35060327010,21
35060327016,24
35060327026,23
35060168004,13
35060168005,14
35060168006,14
35060168007,15
35060168008,10
35060329001,2
35060329002,4
35060329003,1
35060329004,5
35060329005,7
35060329006,11
35060329009,5
35060330003,5
35060330004,7
35060330005,5
35060330006,10
35060330007,5
35060331001,12
35060331002,9
35060331003,10
35060332001,6
35060332002,12
35060333001,6
35060333005,10
35060333006,8
35060334004,14
35060334006,11
35060334007,11
35060336002,19
35060337001,21
35060337002,23
35060338003,11
35060488027,21
35060488028,16
35060488029,14
35060338013,22
35060338014,21
35060338016,20
35060338017,22
35060338018,25
35060338019,24
35060338020,22
35060492003,7
35060492004,10
35060492005,8
35060492006,8
35060492007,8
35060493001,5
35060493002,6
35060493003,9
35060493004,7
35060494001,7
35060494002,7
35060494003,9
35060494004,7
35060494005,6
35060495002,9
35060495008,9
35060604005,8
35060604008,10
35060604013,11
35060604014,9
35060496003,10
35060496006,8
35060496008,11
35060496009,10
35060496016,8
35060496017,11
35060613007,21
35060613008,21
35060613009,17
35060613011,13
35060613012,18
35060616001,10
35060616002,10
35060616003,8
35060616004,18
35060616005,14
35060616006,16
35060617003,10
35060617004,16
35060617005,10
35060618001,9
35060619002,9
35060619005,10
35060619006,5
35060619007,8
35060619011,16
35060620004,9
35060620005,9
35060620006,7
35060620007,13
35060620008,12
35060701043,5
35060701044,6
35060701045,3
35060701046,4
35060701047,6
35060701048,4
35060701049,4
35060701050,4
35060701051,2
35060701052,2
35060701053,2
35060701054,2
35060701055,4
35060701056,3
35060701057,2
35060701058,2
35060701059,2
35060701060,2
35060701061,3
35060701062,2
35060701063,2
35060702001,16
35060702002,7
35060702003,8
35060703001,12
35060703002,14
35060703003,10
35060704001,8
35060704002,8
35060704004,4
35060704005,6
35060823002,0
35060823003,3
35060823005,4
35060823006,3
35060823007,3
35060823008,0
35060823009,3
35060823010,0
35060823011,0
35060823013,4
35060823014,2
35060823015,5
35060823019,3
35060823020,4
35060823021,6
35060823022,5
35060823023,6
35060823025,3
35060823026,3
35060823027,6
35060823028,3
35060823029,5
35060823042,4
35060823046,2
35060936005,4
35060937001,6
35060937002,5
35060937003,8
35060937004,7
35060938006,10
35060938010,15
35060938011,12
35060938013,2
35060938014,10
35060938015,8
35060938019,5
35060938031,15
35060938039,5
35060938043,4
35060938044,2
35060938045,14
35060938046,11
35060938047,14
35060938048,6
35060938049,16
35061098002,1
35061100002,1
35061100004,1
35061100005,1
35061100006,3
35061101001,4
35061101002,1
35061101003,2
35060071001,10
35060072001,7
35060072002,11
35060072003,9
35060072004,10
35060073001,11
35060073002,13
35060073003,13
35060074001,8
35060074002,7
35060074003,8
35060075002,5
35060075003,6
35060075004,4
35060076001,8
35060076002,9
35060076005,9
35060078001,11
35060078002,12
35060078003,14
35060079001,12
35060079002,15
35060080001,14
35060081001,9
35060081002,6
35060168009,2
35060170007,6
35060171001,10
35060171002,7
35060172001,7
35060172002,11
35060172003,6
35060173004,9
35060178001,26
35060178002,16
35060178003,19
35060178005,12
35060178006,12
35060178010,10
35060179001,10
35060179002,12
35060180002,10
35060180003,9
35060180004,14
35060181001,11
35060181003,11
35060181004,16
35060182001,9
35060182003,13
35060182005,16
35060182009,10
35060338010,20
35060183002,12
35060183003,14
35060184002,17
35060184005,7
35060184006,7
35060184007,6
35060338021,24
35060338022,24
35060338025,23
35060338026,22
35060338033,23
35060338035,21
35060338036,22
35060338039,20
35060338041,17
